ID,Country,Region,Gender,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_saving_energy,Importance_owning_computer,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Charity_Donation
239,USA,NC,Male,Right-Handed,169,2,Car,13,.335,50,1000,1000,1000,950,71,74,7,Summer,No,No,Desserts,Milk,Art,9,10,3,Internet chat or instant messaging,0,0,44,0,30,34,0,23,54,52,44,71,0,0,Some,Other,Freeze time,Happy,Other
240,USA,NC,Male,Right-Handed,179,1,Car,6,.723,50,800,800,910,900,95,107,4,Fall,Yes,No,Meat,Water,Physical education,7,8,4,Text messaging,100,250,12,0,4,15,7,6,8,8,5,10,15,2,Very little,Undergraduate degree,Super strength,Happy,Religious
241,USA,NC,Female,Right-Handed,165,2,Car,7,.485,39,1000,1000,1000,540,66,68,1,Fall,No,No,Pizza/Pasta,Water,Science,6,11,4,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Telepathy,Happy,Environment
242,USA,NC,Female,Right-Handed,172,2,Walk,0,.487,38,759,497,834,1000,55,55,6,Fall,Yes,No,Salads,Water,Mathematics and statistics,7,9,2,Text messaging,100,100,20,0,40,0,2,0,10,20,30,0,0,0,A lot,Graduate degree,Telepathy,Happy,International aid
243,USA,NC,Female,Right-Handed,161.3,2,Car,12,.362,37,10000,10000,10000,10000,71.12,68.58,5,Fall,Yes,No,Seafood,Water,Art,6,8,4,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Fly,Happy,Health
244,USA,NC,Female,Right-Handed,157,3,Bus,20,.392,48,353,396,952,278,55,55,10,Spring,No,No,Desserts,Other,Other,4,5,4,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Very little,High school,Telepathy,Healthy,Health
245,USA,NC,Female,Right-Handed,165,3,Walk,15,.392,27,1000,1000,1000,925,55,55,2,Winter,No,No,Fruit,Tea,Science,6,10,4,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,A lot,Graduate degree,Fly,Rich,Environment
246,USA,NC,Male,Right-Handed,161,2,Bus,15,.5863,50,900,800,900,900,69,73,1,Winter,No,No,Poultry,Water,Science,7,10,7,Text messaging,30,56,18,1,10,7,12,12,0,2,20,8,0,10,A lot,Graduate degree,Freeze time,Rich,"Wildlife, animals"
248,USA,NC,Male,Right-Handed,177,2,Walk,5,.432,40,1000,1000,1000,1000,55,55,2,Fall,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,9,4,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Freeze time,Healthy,Environment
249,USA,NC,Female,Right-Handed,175,1,Car,15,.25,67,1000,1000,995,1000,25,30,12,Winter,Yes,No,Seafood,Energy drink,Mathematics and statistics,4,8,3,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Telepathy,Happy,Education/Youth development
250,USA,NC,Female,Left-Handed,168,2,Car,5,.596,48,1000,1000,999,503,80,70,1,Fall,No,No,Desserts,Water,Mathematics and statistics,7,9,4,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Telepathy,Happy,International aid
