ID,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,filter_$
233,USA,NC,2019,11,Male,16,Right-Handed,188,27,182,1,Car,25,.491,43,Basketball,902,497,717,524,909,904,27,Same length,76,76,Same length,12,Fall,Yes,No,Pizza/Pasta,Water,Computers and technology,7,9,4,Yes - broadband connection,Text messaging,5,7,2,0,3,1,3,1,3,1,2,1,0,1,Some,Graduate degree,Rock and roll,Freeze time,Happy,Musician or singer,Education/Youth development,1
235,USA,NC,2020,12,Male,18,Right-Handed,172,5,12,2,Car,4,.829,47,Other,0,0,0,0,0,0,12,Same length,12,55,Same length,11,Summer,No,No,Seafood,Juice,Music,8,8,4,Yes - other,Other,100,10000,24,24,1,24,1,24,24,24,24,24,24,1,A lot,High school,Rap/Hip hop,Invisibility,Happy,Other,"Wildlife, animals",1
236,USA,NC,2022,12,Male,16,Right-Handed,191,29,196,2,Car,8,.302,61,Martial Arts,400,400,300,300,1000,1000,29,Same length,83,89,Ring finger,4,Summer,No,No,Meat,Water,Physical education,5,10,4,Yes - broadband connection,Text messaging,100,700,25,6,7,3,5,5,35,14,42,0,0,7,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Rich,Actor,Health,1
237,USA,NC,2014,12,Female,16,Right-Handed,155,24,153,3,Car,20,.373,41,Soccer,20,20,20,20,20,10,23,Right foot,80,80,Same length,4,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,10,6,Yes - other,In person,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Some,Some college,Other,Super strength,Happy,Religious figure,Religious,1
238,USA,NC,2019,11,Male,17,Right-Handed,170,23,173,1,Car,7,.432,38,Golf,100,100,500,500,900,1000,23,Same length,75,85,Ring finger,7,Summer,No,No,Meat,Water,Physical education,6,9,5,Yes - broadband connection,Text messaging,10,25,6,0,5,4,8,4,4,2,12,5,3,2,Some,Graduate degree,Pop,Telepathy,Rich,Friend,Health,1
239,USA,NC,2021,12,Male,15,Right-Handed,169,25,169,2,Car,13,.335,50,None,1000,1000,1000,1000,950,1000,25,Same length,71,74,Ring finger,7,Summer,No,No,Desserts,Milk,Art,9,10,3,Yes - broadband connection,Internet chat or instant messaging,0,0,44,0,30,34,0,23,54,52,44,71,0,0,Some,Other,Techno/Electronic,Freeze time,Happy,Friend,Other,1
240,USA,NC,2017,12,Male,17,Right-Handed,179,28,70,1,Car,6,.723,50,Football (American),800,800,905,910,900,950,28,Same length,95,107,Ring finger,4,Fall,Yes,No,Meat,Water,Physical education,7,8,4,Yes - broadband connection,Text messaging,100,250,12,0,4,15,7,6,8,8,5,10,15,2,Very little,Undergraduate degree,Country,Super strength,Happy,Sports person,Religious,1
241,USA,NC,2020,11,Female,17,Right-Handed,165,22,149,2,Car,7,.485,39,Soccer,1000,1000,1000,1000,540,706,22,Same length,66,68,Ring finger,1,Fall,No,No,Pizza/Pasta,Water,Science,6,11,4,Yes - broadband connection,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Environment,1
242,USA,NC,2018,12,Female,17,Right-Handed,172,24,167.5,2,Walk,0,.487,38,Swimming,759,497,898,834,1000,1000,24,Same length,55,55,Index finger,6,Fall,Yes,No,Salads,Water,Mathematics and statistics,7,9,2,Yes - broadband connection,Text messaging,100,100,20,0,40,0,2,0,10,20,30,0,0,0,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Friend,International aid,1
243,USA,NC,2018,11,Female,16,Right-Handed,161.3,14.7,152,2,Car,12,.362,37,Athletics,10000,10000,10000,10000,10000,10000,15.5,Left foot,71.12,68.58,Index finger,5,Fall,Yes,No,Seafood,Water,Art,6,8,4,Yes - broadband connection,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health,1
