ID,ClassGrade,Gender,Footlength_cm,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Favorite_Season,Allergies,Vegetarian,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
242,12,Female,24,Walk,0,.487,38,24,Same length,55,55,Index finger,Fall,Yes,No,Water,Mathematics and statistics,7,9,2,Yes - broadband connection,Text messaging,100,100,20,0,40,0,2,0,10,20,30,0,0,0,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Friend,International aid
243,11,Female,14.7,Car,12,.362,37,15.5,Left foot,71.12,68.58,Index finger,Fall,Yes,No,Water,Art,6,8,4,Yes - broadband connection,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health
244,12,Female,5,Bus,20,.392,48,25,Same length,55,55,Same length,Spring,No,No,Other,Other,4,5,4,Yes - dial-up connection,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Very little,High school,Other,Telepathy,Healthy,Teacher,Health
246,10,Male,23,Bus,15,.5863,50,23,Same length,69,73,Ring finger,Winter,No,No,Water,Science,7,10,7,Yes - broadband connection,Text messaging,30,56,18,1,10,7,12,12,0,2,20,8,0,10,A lot,Graduate degree,Pop,Freeze time,Rich,Relative,"Wildlife, animals"
247,11,Male,26.67,Car,5,.341,36,26.67,Same length,40,39,Ring finger,Winter,No,Yes,Water,Mathematics and statistics,7.5,10,5,Yes - broadband connection,In person,50,250,10,2,12,5,6,7,8,11,50,7,0,2,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,International aid
248,12,Male,27,Walk,5,.432,40,28,Left foot,55,55,Index finger,Fall,No,No,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Freeze time,Healthy,Coach or club leader,Environment
249,11,Female,22,Car,15,.25,67,20,Right foot,25,30,Same length,Winter,Yes,No,Energy drink,Mathematics and statistics,4,8,3,Yes - dial-up connection,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Telepathy,Happy,Business person,Education/Youth development
250,12,Female,24,Car,5,.596,48,24,Same length,80,70,Index finger,Fall,No,No,Water,Mathematics and statistics,7,9,4,Yes - other,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
251,12,Male,28,Car,10,.462,51,24,Right foot,70,55,Ring finger,Fall,No,No,Energy drink,Physical education,5,10,3,Yes - broadband connection,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,"Arts, culture, sports"
252,12,Female,24,Car,7,.356,37,24,Same length,70,75,Ring finger,Winter,No,No,Water,Science,4,10,3,Yes - other,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health
