Year,Player,School,GradStatus,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted_Round,Drafted_Pick,BMI,Player_Type,Position_Type
2010,Jason Pierre-Paul\PierJa99,South Florida,No,4.71,77.47,19,292.1,7.18,4.67,1,15,32.0169989,defense,defensive_lineman
2010,Adrian Tracy\TracAd99,William & Mary,Yes,4.76,90.17,20,279.4,7.08,4.34,6,184,30.99755658,defense,line_backer
2010,Travis Goethel\GoetTr99,Arizona St.,Yes,4.81,88.9,21,281.94,6.93,4.54,6,190,30.81386032,defense,line_backer
2010,Antonio Brown\BrowAn04,Central Michigan,No,4.56,85.09,13,266.7,6.98,4.18,6,195,26.68794731,offense,backs_receivers
2010,Jonathan Dwyer\DwyeJo00,Georgia Tech,No,4.64,83.82,15,271.78,7.56,4.67,6,188,31.93868949,offense,backs_receivers
2010,Mike Iupati\IupaMi20,Idaho,Yes,5.24,69.85,27,233.68,7.85,4.93,1,17,39.25046903,offense,offensive_lineman
2010,Anthony Davis\DaviAn27,Rutgers,No,5.36,83.82,21,251.46,8.17,4.97,1,11,38.30181721,offense,offensive_lineman
2010,Anthony Dixon\DixoAn00,Mississippi St.,Yes,4.67,83.82,15,307.34,7.09,4.49,6,173,30.74032878,offense,backs_receivers
2010,Kyle Williams\WillKy01,Arizona St.,No,4.4,83.82,11,299.72,7,4.19,6,206,26.97491448,offense,backs_receivers
2010,Anthony McCoy\McCoAn00,USC,Yes,4.71,90.17,19,287.02,6.99,4.57,6,185,31.52614632,offense,backs_receivers
2010,Gerald McCoy\McCoGe99,Oklahoma,Yes,5.04,77.47,23,289.56,7.32,4.48,1,3,35.90815893,defense,defensive_lineman
2010,Trent Williams\WillTr21,Oklahoma,No,4.81,87.63,23,287.02,7.64,4.63,1,4,37.35316539,offense,offensive_lineman
2011,Patrick Peterson\PetePa00,LSU,No,4.31,96.52,15,320.04,6.58,4.07,1,5,29.70143479,defense,defensive_back
2011,Julio Jones\JoneJu02,Alabama,Yes,4.34,97.79,17,342.9,6.66,4.25,1,6,27.49783245,offense,backs_receivers
2011,Jimmy Smith\SmitJi03,Colorado,Yes,4.42,91.44,24,312.42,6.93,4.06,1,27,27.09051887,defense,defensive_back
2011,Chris White\WhitCh03,Mississippi St.,Yes,4.65,86.36,17,292.1,6.95,4.25,6,169,29.9976354,defense,line_backer
2011,Lawrence Wilson\WilsLa01,Connecticut,Yes,4.71,82.55,24,287.02,7.31,4.5,6,166,30.21259781,defense,line_backer
2011,J.T. Thomas\ThomJ.02,West Virginia,Yes,4.65,77.47,23,289.56,7.23,4.28,6,195,31.79579071,defense,line_backer
2011,Ryan Whalen\WhalRy00,Stanford,No,4.53,97.79,18,312.42,6.67,4.09,6,167,26.65041379,offense,backs_receivers
2011,A.J. Green\GreeA.00,Georgia,Yes,4.48,87.63,18,320.04,6.91,4.21,1,4,25.68346283,offense,backs_receivers
2011,Phil Taylor\TaylPh00,Baylor,Yes,5.09,74.93,31,254,7.75,4.77,1,21,41.74670926,defense,defensive_lineman
2011,Dwayne Harris\HarrDw00,East Carolina,Yes,4.53,86.36,10,281.94,6.77,4.21,6,176,29.1271683,offense,backs_receivers
2011,Mike Mohamed\MohaMi00,California,Yes,4.65,81.28,21,292.1,6.7,4,6,189,29.87264525,defense,line_backer
2011,Von Miller\MillVo00,Texas A&M,No,4.42,93.98,21,320.04,6.7,4.06,1,2,30.74757628,defense,line_backer
2011,D.J. Smith\SmitD.00,Appalachian St.,Yes,4.71,78.74,20,264.16,7.35,4.45,6,186,33.33339209,defense,line_backer
2011,Derek Sherrod\SherDe00,Mississippi St.,No,5.18,71.12,23,246.38,7.43,4.63,1,32,38.06465425,offense,offensive_lineman
2011,Ricky Elmore\ElmoRi00,Arizona,Yes,4.88,80.01,26,269.24,7.25,4.32,6,197,31.03925603,defense,defensive_lineman
2011,J.J. Watt\WattJ.00,Wisconsin,No,4.81,93.98,34,304.8,6.88,4.21,1,11,34.38862845,defense,defensive_lineman
2011,Anthony Castonzo\CastAn00,Boston Col.,Yes,5.21,74.93,28,266.7,7.25,4.4,1,22,35.03519296,offense,offensive_lineman
2011,Jon Baldwin\BaldJo00,Pittsburgh,No,4.49,106.68,20,327.66,7.07,4.34,1,26,27.75274657,offense,backs_receivers
2011,Jerrell Powe\PoweJe00,Mississippi,Yes,5.25,63.5,27,236.22,8.17,5.06,6,199,43.01101336,defense,defensive_lineman
2011,Corey Liuget\LiugCo00,Illinois,No,4.97,69.85,27,259.08,7.48,4.68,1,18,38.26054323,defense,defensive_lineman
2011,Steve Schilling\SchiSt00,Michigan,Yes,5.18,64.77,30,248.92,7.73,4.62,6,201,37.49055238,offense,offensive_lineman
2011,Jordan Todman\TodmJo00,Connecticut,No,4.4,96.52,25,320.04,7.24,4.18,6,183,29.97755192,offense,backs_receivers
2011,Robert Quinn\QuinRo00,North Carolina,No,4.62,86.36,22,294.64,7.13,4.4,1,14,32.25648175,defense,defensive_lineman
2011,Charles Clay\ClayCh00,Tulsa,Yes,4.69,85.09,18,299.72,7.07,4.15,6,174,30.62258614,offense,backs_receivers
2011,Ross Homan\HomaRo00,Ohio St.,Yes,4.66,90.17,32,281.94,7.21,4.34,6,200,31.66385797,defense,line_backer
2011,Brandon Fusco\FuscBr00,Slippery Rock,Yes,5.18,72.39,26,274.32,7.29,4.43,6,172,37.24710723,offense,offensive_lineman
2011,DeMarcus Love\LoveDe00,Arkansas,Yes,5.18,67.31,27,246.38,7.84,4.84,6,168,38.34261039,offense,offensive_lineman
2011,Nate Solder\SoldNa00,Colorado,Yes,4.96,81.28,21,279.4,7.44,4.34,1,17,35.04362436,offense,offensive_lineman
2011,Mark Ingram\IngrMa01,Alabama,No,4.62,80.01,21,299.72,7.13,4.62,1,28,31.74962395,offense,backs_receivers
2011,Cameron Jordan\JordCa00,California,No,4.74,78.74,25,297.18,7.07,4.37,1,24,34.93437835,defense,defensive_lineman
2011,Tyler Sash\SashTy00,Iowa,Yes,4.62,83.82,11,274.32,6.9,4.27,6,198,28.61645087,defense,defensive_back
2011,Prince Amukamara\AmukPr00,Nebraska,No,4.38,96.52,15,325.12,6.97,4.08,1,19,27.93833592,defense,defensive_back
2011,Greg Jones\JoneGr02,Michigan St.,Yes,4.75,80.01,21,297.18,7.27,4.27,6,185,32.82076356,defense,line_backer
2011,Muhammad Wilkerson\WilkMu00,Temple,No,4.96,66.04,27,269.24,7.31,4.59,1,30,38.34261039,defense,defensive_lineman
2011,Danny Watkins\WatkDa00,Baylor,Yes,5.36,66.04,29,233.68,7.61,4.62,1,23,38.74694572,offense,offensive_lineman
2011,Brian Rolle\RollBr00,Ohio St.,Yes,4.53,83.82,28,292.1,6.89,4.26,6,193,32.85774158,defense,line_backer
